673,138172,1
673,142138,1
673,143180,1
673,132124,1
673,132232,1
673,99450,1
673,136992,1
673,124637,4
673,164620,1
673,136988,3
674,138172,1
674,142138,1
674,143180,1
674,132232,1
674,99450,3
674,136992,1
674,138620,1
674,124637,3
674,164620,1
674,136988,1
675,138172,1
675,142138,1
675,143180,1
675,132124,1
675,132232,1
675,99450,1
675,136992,1
675,138620,1
675,124637,1
675,164620,1
675,136988,1
676,138172,2
676,142138,1
676,143180,1
676,132124,1
676,132232,1
676,99450,1
676,136992,1
676,138620,1
676,124637,1
676,164620,1
676,136988,1
677,138172,2
677,143180,1
677,132124,1
677,132232,1
677,99450,1
677,136992,1
677,138620,1
677,124637,4
677,164620,1
677,136988,1
678,138172,1
678,142138,4
678,143180,1
678,132124,2
678,132232,1
678,99450,2
678,136992,1
678,138620,1
678,124637,3
678,136988,1
679,138172,3
679,142138,5
679,143180,5
679,132124,4
679,99450,4
679,136992,4
679,124637,2
679,164620,3
679,136988,3
680,138172,3
680,142138,1
680,143180,1
680,132124,1
680,132232,1
680,99450,1
680,136992,1
680,138620,3
680,124637,1
680,136988,1
681,138172,4
681,142138,4
681,143180,4
681,132124,5
681,132232,3
681,99450,3
681,136992,4
681,124637,5
681,164620,2
681,136988,5
682,138172,4
682,142138,3
682,132124,4
682,99450,2
682,136992,3
682,138620,3
682,124637,3
682,164620,1
682,136988,2
683,138172,2
683,142138,3
683,132124,4
683,132232,3
683,99450,3
683,136992,4
683,124637,4
683,164620,1
683,136988,4
684,138172,3
684,142138,3
684,143180,4
684,132124,3
684,132232,4
684,138620,3
684,124637,4
684,164620,3
684,136988,1
